id,genre,track_name,artist_name,valence,energy
1fxYz1s15pyZLsJT0Hdh1m,"['melodic rap', 'rap', 'trap']",late at night,Roddy Ricch,0.111,0.403
0ITaSRuI0L1RNL7ZNYTTi7,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",U Are My High (with Future),DJ Snake,0.442,0.824
5vGLcdRuSbUhD8ScwsGSdA,['nyc rap'],Whoopty,CJ,0.66,0.648
0P88fVbvRQGgRQN1GulQNy,[],Glad U Came (feat. ZieZie),Liilz,0.663,0.531
2kaNmAbqrtOf7Rdr3fnCWl,[],Toxic,BoyWithUke,0.687,0.612
1T4tQ4SSagbhAKpvcWg035,['ohio hip hop'],ay! (feat. Lil Wayne),Machine Gun Kelly,0.491,0.617
5l5M8rM9XZ10wYHIPwpV0G,"['chicago rap', 'melodic rap']",Stay High,Juice WRLD,0.485,0.478
2Ku7Iz5iUtukULZ229KUYx,[],TO THE MOON - Gunna Remix,Jnr Choi,0.461,0.631
5p29DSBwxS4hStGKr7NCCO,['sad rap'],KILL CUPID,Dro Kenji,0.202,0.58
0UPBidRYcgJ2mjZlk08V8x,"['brooklyn drill', 'melodic rap', 'nyc rap']",F.N,Lil Tjay,0.322,0.502
1g7j5AxiNKTGjryhFIlAsA,"['edm', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",Story Of My Life (feat. Trippie Redd),ILLENIUM,0.369,0.892
7uLFOXgLrS90tEYPO1DGXy,"['melodic rap', 'rap', 'trap']",Man in the Mirror,A Boogie Wit da Hoodie,0.55,0.631
733RnlYLskyvWMhhzs70sy,['drift phonk'],TOKYO DRIFT,PRXSXNT FXTURE,0.129,0.87
2lz3zjQ5QCVXiyOzIk02vW,[],Die For You,VALORANT,0.104,0.705
2I8EDARURigigunOxtg7oi,['rhode island rap'],DIVE IN!,JELEEL!,0.368,0.753
6hJrZxgi6Cld2vIs3zgqRr,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance', 'vapor twitch']",Fatal Attraction (feat. Reese LAFLARE),Boombox Cartel,0.288,0.736
39LJCSHy7nB1akjmhMQ7Y7,"['emo rap', 'pop rap', 'sad rap']",Pain,Josh A,0.61,0.509
17zEBtrjKKa2hwk9CxWIkX,"['aesthetic rap', 'meme rap', 'sad lo-fi']",MARCELINE,Lil God Dan,0.598,0.806
2WnPietHTd9hrIPbZnpoHL,[],HOME,Mike Dimes,0.428,0.468
2eFjKl5cyPPYElDByCh6Tb,"['edm', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",First Time,ILLENIUM,0.43,0.667
3tjFYV6RSFtuktYl3ZtYcq,"['cali rap', 'pop rap']",Mood (feat. iann dior),24kGoldn,0.756,0.722
5RlIvFyMCz8BT5vXAQJCIU,"['hip hop', 'rap']",first order of business,Baby Keem,0.565,0.309
6wrl9ZxvrC8mqDM45ucz4b,"['melodic rap', 'rap', 'trap']",25 million,Roddy Ricch,0.3,0.473
7D7e6hm2LiNd6nLuJF6K9Q,"['aesthetic rap', 'lo-fi chill', 'sad lo-fi']",Hex,80purppp,0.482,0.398
3aQem4jVGdhtg116TmJnHz,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Whatâ€™s Next,Drake,0.0628,0.594
4h3KlpOEXS6FxIpab6EKlf,['drift phonk'],INCOMING,MC ORSEN,0.31,0.876
6ENkbZAv9v4WeQ4SmBzjt1,['chicago rap'],No Return (with The Kid LAROI & Lil Durk),Polo G,0.449,0.611
658QJ4p8WcbT3O7iWLpO1D,['drift phonk'],Scary Garry,Kaito Shoma,0.064,0.974
5x4vgABKiGp4Vg7ZyFRxhn,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",Run It (feat. Rick Ross & Rich Brian),DJ Snake,0.225,0.725
4Fd2jLQspwZVv7hF3bXHFg,[],Go!,NEFFEX,0.587,0.875
6bCWyr3C3ngZdwizTYWQTG,['chicago rap'],Onna Come Up (feat. G Herbo) [Remix],Lil Eazzyy,0.698,0.794
0hquQWY3xvYqN4qtiquniF,"['dance pop', 'pop']",Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.74,0.601
5Unr6WoYvsnGYo3NazmkW4,"['aesthetic rap', 'emo rap', 'modern indie pop', 'sad rap', 'vapor trap']",Taking Over,Tom The Mail Man,0.721,0.516
1rDQ4oMwGJI7B4tovsBOxc,"['deep underground hip hop', 'kentucky hip hop', 'rap']",First Class,Jack Harlow,0.324,0.563
4LRPiXqCikLlN15c3yImP7,['pop'],As It Was,Harry Styles,0.662,0.731
3ihIZrJreMJPjQdNLrEXnP,"['atl hip hop', 'atl trap', 'rap', 'trap']",In A Minute,Lil Baby,0.145,0.605
3USxtqRwSYz57Ewm6wWRMp,"['gauze pop', 'indietronica', 'shiver pop']",Heat Waves,Glass Animals,0.531,0.525
3LnpBazWpD31QMTn6LgVGv,"['atl hip hop', 'melodic rap', 'rap', 'trap']",pushin P (feat. Young Thug),Gunna,0.488,0.422
5vUnjhBzRJJIAOJPde6zDx,[],TO THE MOON,Jnr Choi,0.386,0.65
6qBhJTUFsVX1wPqHsg3ooc,[],Madrina,PEPDIM,0.717,0.685
5dXWFMwD7I7zXsInONVl0H,"['pop', 'r&b']",I Hate U,SZA,0.412,0.388
5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],STAY (with Justin Bieber),The Kid LAROI,0.478,0.764
6Zu3aw7FfjAF9WA0fA81Oq,"['pop', 'r&b', 'trap queen']",Big Energy,Latto,0.813,0.807
4A8cWXxKfIL3lAyUDzXbCF,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",Super Gremlin,Kodak Black,0.106,0.414
1r9xUipOqoNwggBpENDsvJ,"['modern rock', 'rock']",Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.555,0.783
6I3mqTwhRpn34SLVafSH7G,"['canadian pop', 'pop']",Ghost,Justin Bieber,0.441,0.741
4fouWK6XVHhzl78KzQ1UjL,['modern alternative pop'],abcdefu,GAYLE,0.415,0.54
52xJxFP6TqMuO4Yt0eOkMz,[],We Don't Talk About Bruno,Carolina GaitÃ¡n - La Gaita,0.83,0.45
0e8nrvls4Qqv5Rfa2UhqmO,"['lgbtq+ hip hop', 'pop']",THATS WHAT I WANT,Lil Nas X,0.546,0.846
6Uj1ctrBOjOas8xZXGqKk4,"['dance pop', 'pop']",Woman,Doja Cat,0.881,0.764
2Xr1dTzJee307rmrkt8c0g,['afro r&b'],love nwantiti (ah ah ah),CKay,0.533,0.739
6PQ88X9TkUIAUIZJHW2upE,"['pop', 'uk pop']",Bad Habits,Ed Sheeran,0.591,0.897
0gplL1WMoJ6iYaPgMCL0gX,"['british soul', 'pop', 'pop soul', 'uk pop']",Easy On Me,Adele,0.13,0.366
75MNhvTCCKsST3YqqUiU9r,"['pop', 'uk pop']",Shivers,Ed Sheeran,0.822,0.859
6zSpb8dQRaw0M1dK8PBwQz,"['glam rock', 'mellow gold', 'piano rock']",Cold Heart - PNAU Remix,Elton John,0.942,0.798
4iN16F8JtVxG2UTzp3avGl,"['dance pop', 'pop']",Smokin Out The Window,Bruno Mars,0.848,0.618
39LLxExYz6ewLAcYrzQQyP,"['dance pop', 'pop', 'uk pop']",Levitating,Dua Lipa,0.914,0.884
37BZB0z9T8Xu7U3e65qxFy,"['canadian contemporary r&b', 'canadian pop', 'pop']",Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.593,0.825
13rC4iKtfQocWIfzPOJxaT,"['contemporary country', 'country road', 'texas country']",'Til You Can't,Cody Johnson,0.503,0.814
00Blm7zeNqgYLPtW6zg8cj,"['dfw rap', 'melodic rap', 'rap']",One Right Now (with The Weeknd),Post Malone,0.688,0.781
6HJIZUOiZDE814XMhRGSZN,['nueva musica mexicana'],Soy El Unico,Yahritza Y Su Esencia,0.63,0.449
27NovPIUIRrOZoCHxABJwK,"['lgbtq+ hip hop', 'pop']",INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.894,0.704
3xRH6FPVtheDyNla3T1FE7,"['dance pop', 'indie r&b', 'pop', 'pop r&b', 'pop rap', 'r&b']",Hrs and Hrs,Muni Long,0.661,0.525
3Vi5XqYrmQgOYBajMWSvCi,"['dance pop', 'pop']",Need to Know,Doja Cat,0.194,0.609
74C8vEwsNT5OTg8VQOsoUD,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",What Happened To Virgil (feat. Gunna),Lil Durk,0.194,0.526
1ri9ZUkBJVFUdgwzCnfcYs,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",MAMIII,Becky G,0.899,0.7
6PERP62TejQjgHu81OHxgM,['pop'],good 4 u,Olivia Rodrigo,0.668,0.661
4GyD3o5hWoyCuYpdlzZlRL,"['contemporary country', 'country', 'country road']",Doin' This,Luke Combs,0.39,0.552
08SB2OtZkaliju77WYEKxk,"['dance pop', 'pop', 'r&b']",No Love (with SZA),Summer Walker,0.517,0.618
1BSMpVGWs3v5BZKnAQziAc,"['dance pop', 'pop', 'viral pop']",Light Switch,Charlie Puth,0.912,0.626
5S9Zs5g9lTWnLIboN1pdlU,"['alt z', 'gen z singer-songwriter', 'pop']",Fingers Crossed,Lauren Spencer-Smith,0.446,0.473
7mFj0LlWtEJaEigguaWqYh,"['dance pop', 'houston rap', 'pop', 'trap queen']",Sweetest Pie,Megan Thee Stallion,0.677,0.628
0k4d5YPDr1r7FX77VdqWez,"['dance pop', 'pop']",You Right,Doja Cat,0.436,0.621
0QBzMgT7NIeoCYy3sJCof1,"['dance pop', 'pop', 'post-teen pop']",Bam Bam (feat. Ed Sheeran),Camila Cabello,0.956,0.697
69AIpwGNLxr4qS1X5ynx60,['contemporary country'],Buy Dirt,Jordan Davis,0.437,0.559
03kCiUPjdAV9ur9ugm8PQT,"['contemporary country', 'country', 'country road', 'modern country rock']",Never Say Never (with Lainey Wilson),Cole Swindell,0.454,0.937
3ZozFqJJlDBNIm4xqxn2ZD,"['contemporary country', 'country', 'country road', 'modern country rock']",Fancy Like,Walker Hayes,0.843,0.76
77oKig47u34qCCFWKMfu1e,"['contemporary country', 'country', 'country road', 'modern country rock']",AA,Walker Hayes,0.753,0.747
760jhRscwGbIIe1m1IIQpU,[],Surface Pressure,Jessica Darrow,0.37,0.584
0uRrG2jRR5tuifsYIJHEao,['contemporary country'],Sand In My Boots,Morgan Wallen,0.414,0.537
0QULNNd9z5s35entfiiXoa,['modern blues rock'],Drunk (And I Don't Wanna Go Home),Elle King,0.626,0.884
18asYwWugKjjsihZ0YvRxO,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",The Motto,TiÃ«sto,0.464,0.763
19ZzEzb4BVK1wVO4brrmZz,"['contemporary country', 'country', 'country road']",Beers On Me,Dierks Bentley,0.733,0.846
0IuVhCflrQPMGRrOyoY5RW,['pop'],she's all i wanna be,Tate McRae,0.651,0.644
3o9kpgkIcffx0iSwxhuNI2,"['alt z', 'gen z singer-songwriter']",Numb Little Bug,Em Beihold,0.638,0.527
59CfNbkERJ3NoTXDvoURjj,"['pop', 'post-teen pop']",Boyfriend,Dove Cameron,0.232,0.612
3cBsEDNhFI9E82vPj3kvi3,['contemporary country'],Wasted On You,Morgan Wallen,0.252,0.657
6WdfqDzpz3XkvMSlPVc0U8,['disney'],"Nobody Like U - From ""Turning Red""",4*TOWN (From Disney and Pixarâ€™s Turning Red),0.734,0.722
