id,genre,track_name,artist_name,valence,energy
6Ee0yGNdvKIqOcq6ua5zwz,"['art rock', 'dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",Sweet Dreams (Are Made Of This) - Live,Eurythmics,0.746,0.703
107TF9ikYY7Cnpm4FQ5v0k,"['mellow gold', 'new wave pop', 'soft rock']",The Lady In Red - Live,Chris de Burgh,0.412,0.467
3Dbgo1HE3DErIBNDIO4Hyd,"['modern rock', 'rock']",Blank Space/Stand By Me - Live From Spotify London,Imagine Dragons,0.514,0.553
3eNYZ1f1sLkylk0kc60Vir,"['europop', 'swedish pop']",Waterloo - Live,ABBA,0.343,0.811
78j9FMDQ5hRt0JTDHYEvg3,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']","Always on My Mind - Live at the O2 Arena, London - 21 December 2009",Pet Shop Boys,0.362,0.993
26DAOgxkcKLSKdoHvHoAcn,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']",All Night Long (All Night) - Live,Lionel Richie,0.498,0.745
2nJKHm0UEvnXIxUWSOq26L,"['canadian pop', 'dance pop']",The Power Of Love - Live à Paris,Céline Dion,0.355,0.678
3k41YPhcXPVfwSo58DmJly,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Everything - Live from Madison Square Garden,Michael Bublé,0.446,0.722
0GZSiQsxGMGzMXgqGoYu0d,"['mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']",Leave a Light On - Live,Belinda Carlisle,0.551,0.833
2j1fnJeu1aGvqbwZBpdrEF,"['british soul', 'dance pop', 'europop', 'neo soul']",Mercy - Acoustic Version,Duffy,0.576,0.285
2f7wiqS80eqRzDlXT8BI6G,"['adult standards', 'disco', 'hollywood', 'mellow gold', 'soft rock']",Guilty (feat. Barry Gibb) - Live Duet With Barry Gibb,Barbra Streisand,0.849,0.697
16nQF9mLw4qMKnz9cJ2cpn,"['british soul', 'pop', 'pop soul', 'uk pop']",Make You Feel My Love (Live at Hotel Cafe),Adele,0.107,0.166
7Juq8RQj5P0cexLR6NsFOk,"['neo mellow', 'pop', 'pop rock']",Wisemen - Live in Ireland,James Blunt,0.56,0.673
63kqWV4uJovbh830PAwC1J,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']","Empire State of Mind (Part II) Broken Down - Live at Metropolis Studios, New York, NY - May 2013",Alicia Keys,0.258,0.439
5U76VjqWelcbPZ89mpkyqt,"['boy band', 'dance pop', 'europop', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']","Love Is All Around - Live at Live 8, Murrayfield Stadium, Edinburgh, 6th July 2004",Wet Wet Wet,0.426,0.769
04ItQxnUp22G4cpXfsS269,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']",Easy - Live In Paris,Lionel Richie,0.35,0.885
5B5X7IDKH9Aeb7NcLdErG7,"['dance pop', 'europop', 'soft rock']",When You Say Nothing At All - Live,Ronan Keating,0.205,0.503
5xk1ZKq81Flr2GKpTyxc5k,"['neo mellow', 'neo soul', 'pop', 'pop rock']",I Won't Let You Go - Live At The Hospital Club,James Morrison,0.214,0.362
